"id","status_group"
50785,"non functional"
51630,"functional"
17168,"functional"
45559,"non functional"
49871,"functional"
52449,"functional"
24806,"non functional"
28965,"non functional"
36301,"non functional"
54122,"functional"
419,"non functional"
45750,"functional"
653,"functional"
14017,"non functional"
44607,"functional"
40228,"functional"
27714,"non functional"
28785,"non functional"
28330,"non functional"
18532,"functional"
69961,"non functional"
55083,"functional"
8691,"functional"
30331,"non functional"
70970,"functional"
61136,"functional"
28799,"non functional"
46825,"non functional"
44718,"non functional"
37350,"functional"
65738,"non functional"
3271,"functional"
42658,"functional"
67523,"non functional"
37034,"functional"
42432,"functional"
27420,"non functional"
707,"non functional"
48489,"non functional"
51008,"functional"
72562,"non functional"
10275,"functional"
53540,"functional"
43291,"non functional"
8813,"functional"
62343,"functional"
1649,"non functional"
8822,"non functional"
10352,"non functional"
50878,"functional"
15266,"non functional"
51956,"functional"
44099,"functional"
59,"non functional"
51359,"functional"
15962,"functional"
17853,"non functional"
42040,"non functional"
72243,"non functional"
63653,"functional"
26510,"non functional"
72053,"functional"
29351,"functional"
51897,"non functional"
20376,"functional"
26804,"functional"
67303,"non functional"
69780,"non functional"
45374,"non functional"
54665,"functional"
39341,"non functional"
8869,"functional"
20691,"functional"
19693,"non functional"
14321,"functional"
63059,"functional"
67403,"non functional"
28912,"non functional"
12549,"non functional"
24328,"functional"
13750,"non functional"
1574,"functional"
44149,"functional"
53917,"non functional"
22705,"functional"
66465,"functional"
15644,"non functional"
20773,"non functional"
33092,"non functional"
54392,"functional"
37850,"non functional"
5576,"functional"
60840,"functional"
9971,"non functional"
57508,"functional"
25872,"functional"
43978,"non functional"
38181,"non functional"
24325,"non functional"
2724,"functional"
34794,"non functional"
56525,"functional"
63155,"functional"
67247,"non functional"
23387,"functional"
17873,"functional"
18197,"non functional"
24834,"non functional"
4091,"non functional"
33261,"functional"
44384,"non functional"
62096,"functional"
64554,"functional"
68314,"non functional"
53,"functional"
23426,"functional"
38259,"non functional"
16631,"non functional"
43162,"non functional"
44492,"functional"
38884,"non functional"
13690,"functional"
60335,"functional"
31856,"non functional"
67891,"functional"
25564,"functional"
55293,"non functional"
